PageRank,author,title,year
4.8269604641219845e-05,"SchnitzerJay J.,DonahoePatricia K.",['SURGICAL TREATMENT OF CONGENITAL ADRENAL HYPERPLASIA'],2001.0
4.8269604641219845e-05,"ShahRajkumar,WoolleyMorton M.,CostinGertrude",['Testicular feminization: The androgen insensitivity syndrome'],1992.0
4.8269604641219845e-05,SnyderHoward M.,['Feminizing Genitoplasty'],2013.0
4.8269604641219845e-05,"JohnsonEmilie K.,FinlaysonCourtney,FinneyEsther L.,HarrisCourtney J.,TanSerena Y.,LarondaMonica M.,LockartBarbara A.,ChenDiane,RowellErin E.,ChengEarl Y.,YerkesElizabeth B.",['Gonadal Tissue Cryopreservation for Children with Differences of Sex Development'],2019.0
4.8269604641219845e-05,"SnyderHoward McC.,RetikAlan B.,BauerStuart B.,ColodnyArnold H.",['Feminizing Genitoplasty: A Synthesis'],1983.0
4.8269604641219845e-05,"SomkutiStephen G.,SemelkaRichard C.,DavenportMarsha L.,FritzMarc A.",['Preoperative evaluation of intersex patients with pelvic magnetic resonance imaging in search of Y chromosome-bearing gonadal tissue'],1996.0
4.8269604641219845e-05,"SrikanthM.S.,WestBrian R.,IshitaniMichael,IsaacsHart,ApplebaumHarry,CostinGertrude",['Benign testicular tumors in children with congenital adrenal hyperplasia'],1992.0
4.8269604641219845e-05,"TejwaniRohit,JiangRuiyang,WolfSteven,AdkinsDeanna W.,YoungBrian J.,AlkazemiMuhammad,WienerJohn S.,PomannGina-Maria,PurvesJ. Todd,RouthJonathan C.","['Contemporary Demographic, Treatment, and Geographic Distribution Patterns for Disorders of Sex Development']",2017.0
4.8269604641219845e-05,"HensleTerry W.,ShabsighAhmad,ShabsighRidwan,ReileyElizabeth A.,Meyer-BahlburgHeino F.L.",['Sexual Function Following Bowel Vaginoplasty'],2006.0
4.8269604641219845e-05,"HertweckS. Paige,RothsteinDavid H.",['Challenges and Opportunities in Adolescent Gynecology Patients with Surgically-Treated Congenital and Acquired Anomalies: Transition of Care from Pediatric to Adult Surgery'],2019.0
4.8269604641219845e-05,"RobertsJennifer,LyalinDmitry,TosattoNorwood,RanaPratibha,FadoulHiba,WelshHolly,ZhangLei,CooleyLinda,RepnikovaElena",['Novel mosaic\n            <i>SRY</i>\n            gene deletions in three newborn males with variable genitourinary malformations'],2018.0
4.8269604641219845e-05,"MassanyiEric Z.,DiCarloHeather N.,MigeonClaude J.,GearhartJohn P.","['Review and management of 46,XY Disorders of Sex Development']",2013.0
4.8269604641219845e-05,"RICHMARK A.,KEATINGMICHAEL A.,LEVINHOWARD S.,KAYROBERT",['TUMORS OF THE ADRENOGENITAL SYNDROME: AN AGGRESSIVE CONSERVATIVE APPROACH'],1998.0
4.8269604641219845e-05,"MazurT.,SandbergD.E.,PerrinΜ.A.,GallagherJ.A.,MacGillivrayM.H.","['Male Pseudohermaphroditism: Long-term Quality of Life Outcome in Five 46,XY Individuals Reared Female']",2004.0
4.8269604641219845e-05,"McCann-CrosbyBonnie,GunnSheila,SmithE. O’Brian,KaravitiLefkothea,HicksM. John",['Association of immunohistochemical markers with premalignancy in Gonadal Dysgenesis'],2015.0
4.8269604641219845e-05,"MisakianAaron,McLoughlinMichelle,PyleLouisa C.,KolonThomas F.,KellyAndrea,VogiatziMaria G.",['Case Report: Low Bone and Normal Lean Mass in Adolescents With Complete Androgen Insensitivity Syndrome'],2021.0
4.8269604641219845e-05,"WeidlerErica M.,GrimsbyGwen,GarveyErin M.,ZwayneNoor,ChawlaReeti,HernandezJanett,SchaubTimothy,RinkRichard,van LeeuwenKathleen",['Evolving indications for surgical intervention in patients with differences/disorders of sex development: Implications of deferred reconstruction'],2020.0
4.8269604641219845e-05,CarrMichael C,['Prenatal management of urogenital disorders'],2004.0
4.8269604641219845e-05,"DickenBryan J.,BillmireDeborah F.,KrailoMark,XiaCaihong,ShaikhFurqan,CullenJohn W.,OlsonThomas A.,PashankarFarzana,MalogolowkinMarcio H.,AmatrudaJames F.,RescorlaFrederick J.,EglerRachel A.,RossJonathan H.,Rodriguez-GalindoCarlos,FrazierA. Lindsay","[""Gonadal dysgenesis is associated with worse outcomes in patients with ovarian nondysgerminomatous tumors: A report of the Children's Oncology Group AGCT 0132 study""]",2017.0
4.8269604641219845e-05,"KarmazynBoaz,SalamaAmr,JenningsS. Gregory,KaeferMartin",['Ultrasound of retained gonads in children and young women with androgen insensitivity syndrome'],2021.0
4.8269604641219845e-05,SchoberJ.M.,['Feminizing Genitoplasty: Λ Synopsis of Issues Relating to Genital Surgery in Intersex Individuals'],2004.0
4.8269604641219845e-05,"GrimstadFrances,BoskeyElizabeth R.,TaghiniaAmir,EstradaCarlos R.,GanorOren",['The role of androgens in clitorophallus development and possible applications to transgender patients'],2021.0
4.8269604641219845e-05,"LongChristopher J.,Van BataviaJason,WisniewskiAmy B.,AstonChristopher E.,BaskinLaurence,ChengEarl Y.,LakshmananYegappan,MeyerTheresa,KroppBradley,PalmerBlake,NokoffNatalie J.,ParadisAlethea,VanderBrinkBrian,Scott ReyesKristy J.,YerkesElizabeth,PoppasDix P.,MullinsLarry L.,KolonThomas F.","['Post-operative complications following masculinizing genitoplasty in moderate to severe genital atypia: results from a multicenter, observational prospective cohort study']",2021.0
4.8269604641219845e-05,"WrightNancy M.,KolpLisa A.,RogolAlan D.,SmithDeborah E.",['Primary amenorrhea in two postpubertal girls with underlying malignancy'],1992.0
4.8269604641219845e-05,"DuckettJohn W.,BaskinLaurence S.",['Genitoplasty for intersex anomalies'],1993.0
4.8269604641219845e-05,"CoranArnold G.,PolleyTheodore Z.",['Surgical management of ambiguous genitalia in the infant and child'],1991.0
4.8269604641219845e-05,"LeeP.A.,WitchelS.F.",['Genital Surgery among Females with Congenital Adrenal Hyperplasia: Changes Over the Past Five Decades'],2002.0
4.8269604641219845e-05,"LEERICHARD M.,PETERSONC. MATTHEW,KREGERDONALD O.,CHAMBERSCHARLES E.,CASEKAY E.",['Digital Blunt Dissection Technique to Assist Laparoscopic Gonadectomy in Inguinally Located/Adhered Gonads'],1993.0
4.8269604641219845e-05,"DabrowskiElizabeth,JohnsonEmilie K.,PatelVrunda,HsuYeoChing,DavisShanlee,GoetschAllison L.,HabibyReema,BrickmanWendy J.,FinlaysonCourtney","['Turner Syndrome with Y Chromosome: Spontaneous Thelarche, Menarche, and Risk of Malignancy']",2020.0
4.8269604641219845e-05,"CanalichioKatie L.,ShnorhavorianMargarett,OelschlagerAnne-Marie Amies,RamsdellLinda,FisherChristina,AdamMargaret P.,FechnerPatricia Y.","['A non-surgical approach to 46,XY differences in sex development through hormonal suppression at puberty: a single-center case series study']",2020.0
4.8269604641219845e-05,"WesleyJohn R.,CoranArnold G.",['Intestinal vaginoplasty for congenital absence of the vagina'],1992.0
4.8269604641219845e-05,"LakshmananYegappan,PetersCraig A.",['Laparoscopy in the Management of Intersex Anomalies'],2000.0
4.8269604641219845e-05,PetersCraig A.,['Laparoscopy in pediatric urology'],1993.0
4.8269604641219845e-05,"CooperChristopher S.,SnyderHoward M.",['Pediatric reconstructive surgery'],2000.0
4.8269604641219845e-05,"OesterlingJoseph E.,GearhartJohn P.,JeffsRobert D.",['A Unified Approach to Early Reconstructive Surgery of the Child with Ambiguous Genitalia'],1987.0
4.8269604641219845e-05,"OelschlagerAnne-Marie Amies,DebiecKatherine,AppelbaumHeather",['Primary vaginal dilation for vaginal agenesis: strategies to anticipate challenges and optimize outcomes'],2016.0
4.8269604641219845e-05,"FlackCharles E.,BarrazaMark A.,StevensPeter S.",['Vaginoplasty: Combination Therapy Using Labia Minora Flaps and Lucite Dilators—Preliminary Report'],1993.0
4.8269604641219845e-05,"Garcia-RoigMichael,CastellanMiguel,GonzalezJavier,GorinMichael A.,Cruz-DiazOmar,LabbieAndrew,GosalbezRafael",['Sigmoid Vaginoplasty with a Modified Single Monti Tube: A Pediatric Case Series'],2014.0
4.8269604641219845e-05,"RoweC.K.,AdamM.P.,AhnJ.J.,MerguerianP.A.,ShnorhavorianM.",['Yield of modern genetic evaluation for patients with proximal hypospadias and descended gonads'],2019.0
4.8269604641219845e-05,"SaltzmanAmanda F.,CarrascoAlonso,ColvinAlexandra,CampbellJeffrey B.,VemulakondaVijaya M.,WilcoxDuncan",['Patients with disorders of sex development and proximal hypospadias are at high risk for reoperation'],2018.0
4.8269604641219845e-05,"NemivantSamantha M.,van LeeuwenKathleen,WeidlerErica M.",['Two cases of gonad retention in adolescent patients with complete androgen insensitivity syndrome (CAIS)'],2020.0
4.8269604641219845e-05,"GonzalezRicardo,FernandesEduardo T.",['Single-Stage Feminization Genitoplasty'],1990.0
4.8269604641219845e-05,"DohertyLeo F.,RackowBeth W.","['Abnormal streak gonads in 46,XY complete gonadal dysgenesis']",2011.0
4.834619486881324e-05,"JANSSONJOHN-OLOV,EKBERGSTAFFAN,ISAKSSONOLLE,MODEAGNETA,GUSTAFSSONJAN-ÅKE","['Imprinting of Growth Hormone Secretion, Body Growth, and Hepatic Steroid Metabolism by Neonatal Testosterone*']",1985.0
4.834619486881324e-05,"JacquinClaire,GranDiane E,LeeSun Kyeong,LorenzoJoseph A,AguilaHector L",['Identification of Multiple Osteoclast Precursor Populations in Murine Bone Marrow'],2005.0
4.834619486881324e-05,"Janssen-HeiningerYvonne M.W.,MossmanBrooke T.,HeintzNicholas H.,FormanHenry J.,KalyanaramanBalaraman,FinkelToren,StamlerJonathan S.,RheeSue Goo,van der VlietAlbert","['Redox-based regulation of signal transduction: Principles, pitfalls, and promises']",2008.0
4.834619486881324e-05,"Iuliano-BurnsSandra,HopperJohn,SeemanEgo",['The Age of Puberty Determines Sexual Dimorphism in Bone Structure: A Male/Female Co-Twin Control Study'],2009.0
